instructions,time(s)
0,0
1,45
2,90
3,135
4,180
5,226
6,271
7,316
8,361
9,406
10,452
11,497
12,542
13,587
14,647
15,707
16,768
17,828
18,888
19,948
20,1008
21,1069
22,1129
23,1174
24,1219
25,1598
26,1961
27,2328
28,2763
29,3109
30,3512
31,3757
32,3903
33,3972
34,4039
35,4085
36,4130
37,4175
38,4220
39,4266
40,4311
41,4356
42,4401
