instructions,time(s)
0,0
1,45
2,90
3,135
4,182
5,228
6,274
7,321
8,367
9,420
10,473
11,518
12,563
13,609
14,731
15,824
16,927
17,1041
18,1142
19,1238
20,1378
21,1525
22,1684
22,4401
