instructions,time(s)
0,0
1,45
2,90
3,135
4,180
5,225
6,271
7,316
8,361
9,406
10,451
11,496
12,542
13,587
14,718
15,809
16,905
17,1018
18,1131
19,1230
20,1363
21,1506
22,1657
22,4401
