instructions,time(s)
0,0
1,1986
2,2174
3,2458
4,2624
5,2901
6,3072
7,3350
8,3526
9,3805
10,3979
11,4249
12,4419
13,4702
14,4935
15,5205
16,5447
17,5763
18,6023
19,6163
20,6423
21,6565
22,6798
23,6934
24,7216
25,7436
26,7693
27,11225
28,16591
29,25440
30,29450
31,31590
32,33097
33,35183
34,37531
35,40882
36,44881
37,49649
38,53356
39,53934
40,54577
41,55120
42,55794
43,56380
44,57097
45,57658
46,58327
47,58869
48,59513
49,60129
50,100731
50,156123
